owner,tokenAccount,amountRaw,amountUi
5gPtFmqXwPrjX2HTVsS8pcmTfg5k1w8q6qfJAAaDJ62C,3aooyTs3gj1aU4TTBT7uVoke6vsoZGvhuvfSGbCih1iH,579845515,0.579845515
HoMboP43Xe1KoTeiJE5gY41MJqXRszvVF1oUfFysGS7w,4sRGBMESR9b3iFdBhzrSfF5dTaaq3rEucmV4UVtnSHyw,521258771,0.521258771
4g7GDkUagouGmzW8EMdTbCrMjia6TtFuQJEqEoG4vCCr,2r4YCURg9wfJQNTfqR47sdPzhpJUHMDgwo4sW3tzccpL,26261,0.000026261
6GgpgHoACNgA2CBs19ESY1yev4rBC5G1f7ykXMqWmomC,8pdwEC6w19u3vcyuPzd9QuwBPoKyZAPiwDJnwfn12Zgx,19880,0.00001988
AtDvRgdzD9ThvwetCjHhqZh57KA6yN4pseKMT7QyezAr,5sn2PJurJMh75gpw8fDodipWGM9d76Frd4zabdrNrMiq,8549,0.000008549
3tS8WqQjvEP6keohcKb8Mbdsp1sPghncy2W75Qv26eSb,2PKg4fZNp1jEospGjrnRspbUr1qBYyc2n63CuWQeuAmy,5217,0.000005217
GPsBVE56CPZghKX5tfRGmya7UCCVydDtE9Ava3yD5DuE,AfPrYqruiPGpNTrB867hEd9DqNM5zT1C23whSWF2gWFS,5169,0.000005169
AXQYx39s8Sd6nJtQe6vpXVQX2zPJjVLtRyFRBTipnC8L,B6syfBizJWeLX6XAHThJbm8CZQrWXvCQQrszoASv8vQS,3226,0.000003226
5hPbPA6Kk7EEusoXCXJd8XncM8Tw5byPNjjbc6YgwtCN,86Ub84Fw12nPeadxp6mKJ6d6oF2MJSLc6ekeXE7hGKni,1853,0.000001853
67aEBh9Eu4cEajDBMZ4PszgWaxZ4a6YPMsdfPMAGNdEz,9i1sTHcfsinLitrx6CZqZ3veQfR8ktM5fJoukD43pXu3,1166,0.000001166
5BbpFtZhXHtQgrWn35WvKhAthqufiyhoABiHrn7DU1oa,8JDyK2uXGNM4aDsymDJ5L8a3sYAWEQG127Jzu6mJGkHs,904,9.04e-7
6EnMxHRXHdnSmD4FXueWPgnB5TanfAyeK2ZYXkSXSKii,9kcAJUvLt142vsPcCJ3gWLaeSCTnArT2yEh8xpi3d9cm,639,6.39e-7
HanbbrMHhRtoRFc3s3BSc5FtV4HXr2PYvmeNtRd6i4uX,AtND5jbLBVJKQDKssaXfXy2MQAKK3xTRZMitrq3FrykL,335,3.35e-7
2nxKfPa3noPp1GVoj2guyfywmpQisHFxpBcpcm4pu1cv,4KFTAiWVrn8UF8sEcih5LFYJS8dJFY4bSPSkFsUAEidk,325,3.25e-7
2DWohsPzAhhwPt3CgcQAjLVvznMnoNUh3bUyC4qyMpCp,5iw9waWwcPajb1iVyCWU1SNHHh3a5pXQVyrCRvAMzMuJ,1,1e-9
